ComCode,Description,ShortDesc,CatGroupID,CatGroup,CatGroupOrder
18730,USDA Imported Meat - Fresh Beef - Other Intact - Uruguay,USDA Imported Meat - Fresh Beef - Other Intact - UY,640,USDA Imported Meat - Fresh Beef,475
18731,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Uruguay,USDA Imported Meat - Fresh Beef - Primals & Subprimals - UY,640,USDA Imported Meat - Fresh Beef,480
18732,USDA Imported Meat - Fresh Beef - AMR - Total,USDA Imported Meat - Fresh Beef - AMR - Total,640,USDA Imported Meat - Fresh Beef,485
18733,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Total,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Total,640,USDA Imported Meat - Fresh Beef,490
18734,USDA Imported Meat - Fresh Beef - Cheek Meat - Total,USDA Imported Meat - Fresh Beef - Cheek Meat - Total,640,USDA Imported Meat - Fresh Beef,495
18735,USDA Imported Meat - Fresh Beef - Cuts - Total,USDA Imported Meat - Fresh Beef - Cuts - Total,640,USDA Imported Meat - Fresh Beef,500
18736,USDA Imported Meat - Fresh Beef - Edible Offal - Total,USDA Imported Meat - Fresh Beef - Edible Offal - Total,640,USDA Imported Meat - Fresh Beef,505
18737,USDA Imported Meat - Fresh Beef - Head Meat - Total,USDA Imported Meat - Fresh Beef - Head Meat - Total,640,USDA Imported Meat - Fresh Beef,510
18738,USDA Imported Meat - Fresh Beef - Other Intact - Total,USDA Imported Meat - Fresh Beef - Other Intact - Total,640,USDA Imported Meat - Fresh Beef,515
18739,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Total,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Total,640,USDA Imported Meat - Fresh Beef,520
18740,USDA Imported Meat - Processed Beef - Fully Cooked - Not Shelf Stable - Argentina,USDA Imported Meat - Processed Beef - Fully Cooked - Not Sh St - ARG,641,USDA Imported Meat - Processed Beef,5
18741,USDA Imported Meat - Processed Beef - Heat Treated - Not Shelf Stable - Argentina,USDA Imported Meat - Processed Beef - Ht Trd  - Not Sh St - ARG,641,USDA Imported Meat - Processed Beef,10
18742,USDA Imported Meat - Processed Beef - Heat Treated - Shelf Stable - Argentina,USDA Imported Meat - Processed Beef - Ht Trd  - Sh St - ARG,641,USDA Imported Meat - Processed Beef,15
18743,USDA Imported Meat - Processed Beef - Thermally Processed - Argentina,USDA Imported Meat - Processed Beef - Thermally Processed - ARG,641,USDA Imported Meat - Processed Beef,20
18744,USDA Imported Meat - Processed Beef - Fully Cooked - Not Shelf Stable - Australia,USDA Imported Meat - Processed Beef - Fully Cooked - Not Sh St - AUS,641,USDA Imported Meat - Processed Beef,25
18745,USDA Imported Meat - Processed Beef - Heat Treated - Not Shelf Stable - Australia,USDA Imported Meat - Processed Beef - Ht Trd  - Not Sh St - AUS,641,USDA Imported Meat - Processed Beef,30
18746,USDA Imported Meat - Processed Beef - Heat Treated - Shelf Stable - Australia,USDA Imported Meat - Processed Beef - Ht Trd  - Sh St - AUS,641,USDA Imported Meat - Processed Beef,35
18747,USDA Imported Meat - Processed Beef - Thermally Processed - Australia,USDA Imported Meat - Processed Beef - Thermally Processed - AUS,641,USDA Imported Meat - Processed Beef,40
18748,USDA Imported Meat - Processed Beef - Fully Cooked - Not Shelf Stable - Brazil,USDA Imported Meat - Processed Beef - Fully Cooked - Not Sh St - BRZ,641,USDA Imported Meat - Processed Beef,45
18749,USDA Imported Meat - Processed Beef - Heat Treated - Not Shelf Stable - Brazil,USDA Imported Meat - Processed Beef - Ht Trd  - Not Sh St - BRZ,641,USDA Imported Meat - Processed Beef,50
18750,USDA Imported Meat - Processed Beef - Heat Treated - Shelf Stable - Brazil,USDA Imported Meat - Processed Beef - Ht Trd  - Sh St - BRZ,641,USDA Imported Meat - Processed Beef,55
18751,USDA Imported Meat - Processed Beef - Thermally Processed - Brazil,USDA Imported Meat - Processed Beef - Thermally Processed - BRZ,641,USDA Imported Meat - Processed Beef,60
18752,USDA Imported Meat - Processed Beef - Fully Cooked - Not Shelf Stable - Canada,USDA Imported Meat - Processed Beef - Fully Cooked - Not Sh St - CAN,641,USDA Imported Meat - Processed Beef,65
18753,USDA Imported Meat - Processed Beef - Heat Treated - Not Shelf Stable - Canada,USDA Imported Meat - Processed Beef - Ht Trd  - Not Sh St - CAN,641,USDA Imported Meat - Processed Beef,70
18754,USDA Imported Meat - Processed Beef - Heat Treated - Shelf Stable - Canada,USDA Imported Meat - Processed Beef - Ht Trd  - Sh St - CAN,641,USDA Imported Meat - Processed Beef,75
18755,USDA Imported Meat - Processed Beef - Thermally Processed - Canada,USDA Imported Meat - Processed Beef - Thermally Processed - CAN,641,USDA Imported Meat - Processed Beef,80
18756,USDA Imported Meat - Processed Beef - Fully Cooked - Not Shelf Stable - Mexico,USDA Imported Meat - Processed Beef - Fully Cooked - Not Sh St - MEX,641,USDA Imported Meat - Processed Beef,85
18757,USDA Imported Meat - Processed Beef - Heat Treated - Not Shelf Stable - Mexico,USDA Imported Meat - Processed Beef - Ht Trd  - Not Sh St - MEX,641,USDA Imported Meat - Processed Beef,90
18758,USDA Imported Meat - Processed Beef - Heat Treated - Shelf Stable - Mexico,USDA Imported Meat - Processed Beef - Ht Trd  - Sh St - MEX,641,USDA Imported Meat - Processed Beef,95
18759,USDA Imported Meat - Processed Beef - Thermally Processed - Mexico,USDA Imported Meat - Processed Beef - Thermally Processed - MEX,641,USDA Imported Meat - Processed Beef,100
18760,USDA Imported Meat - Processed Beef - Fully Cooked - Not Shelf Stable - New Zealand,USDA Imported Meat - Processed Beef - Fully Cooked - Not Sh St - NZ,641,USDA Imported Meat - Processed Beef,105
18761,USDA Imported Meat - Processed Beef - Heat Treated - Not Shelf Stable - New Zealand,USDA Imported Meat - Processed Beef - Ht Trd  - Not Sh St - NZ,641,USDA Imported Meat - Processed Beef,110
18762,USDA Imported Meat - Processed Beef - Heat Treated - Shelf Stable - New Zealand,USDA Imported Meat - Processed Beef - Ht Trd  - Sh St - NZ,641,USDA Imported Meat - Processed Beef,115
18763,USDA Imported Meat - Processed Beef - Thermally Processed - New Zealand,USDA Imported Meat - Processed Beef - Thermally Processed - NZ,641,USDA Imported Meat - Processed Beef,120
18764,USDA Imported Meat - Processed Beef - Fully Cooked - Not Shelf Stable - Uruguay,USDA Imported Meat - Processed Beef - Fully Cooked - Not Sh St - UY,641,USDA Imported Meat - Processed Beef,125
18765,USDA Imported Meat - Processed Beef - Heat Treated - Not Shelf Stable - Uruguay,USDA Imported Meat - Processed Beef - Ht Trd  - Not Sh St - UY,641,USDA Imported Meat - Processed Beef,130
